"No.","Time","Source","Destination","Protocol","Length","Info"
"113","54","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4401 Win=65408 Len=0 TSval=117286949 TSecr=117286949"
"114","55","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4401 Ack=1 Win=65536 Len=80 TSval=117287951 TSecr=117286949 [TCP segment of a reassembled PDU]"
"115","55","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4481 Win=65408 Len=0 TSval=117287951 TSecr=117287951"
"116","56","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4481 Ack=1 Win=65536 Len=80 TSval=117288951 TSecr=117287951 [TCP segment of a reassembled PDU]"
"117","56","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4561 Win=65408 Len=0 TSval=117288951 TSecr=117288951"
"118","57","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4561 Ack=1 Win=65536 Len=80 TSval=117289952 TSecr=117288951 [TCP segment of a reassembled PDU]"
"119","57","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4641 Win=65408 Len=0 TSval=117289952 TSecr=117289952"
"120","58","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4641 Ack=1 Win=65536 Len=80 TSval=117290952 TSecr=117289952 [TCP segment of a reassembled PDU]"
"121","58","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4721 Win=65408 Len=0 TSval=117290952 TSecr=117290952"
"122","59","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4721 Ack=1 Win=65536 Len=80 TSval=117291953 TSecr=117290952 [TCP segment of a reassembled PDU]"
"123","59","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4801 Win=65408 Len=0 TSval=117291953 TSecr=117291953"
"124","60","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4801 Ack=1 Win=65536 Len=80 TSval=117292954 TSecr=117291953 [TCP segment of a reassembled PDU]"
"125","60","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4881 Win=65408 Len=0 TSval=117292954 TSecr=117292954"
"126","61","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=4881 Ack=1 Win=65536 Len=80 TSval=117293954 TSecr=117292954 [TCP segment of a reassembled PDU]"
"127","61","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=4961 Win=65408 Len=0 TSval=117293954 TSecr=117293954"
